Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1980-12-12,28.75,28.87,28.75,28.75,2093900,0.0,1.0,0.4302134561993583,0.4320091297556687,0.4302134561993583,0.4302134561993583,117258400
1980-12-15,27.38,27.38,27.25,27.25,785200,0.0,1.0,0.409712849764815,0.409712849764815,0.4077675367454788,0.4077675367454788,43971200
1980-12-16,25.37,25.37,25.25,25.25,472000,0.0,1.0,0.3796353176966164,0.3796353176966164,0.377839644140306,0.377839644140306,26432000
1980-12-17,25.87,26.0,25.87,25.87,385900,0.0,1.0,0.3871172908479096,0.3890626038672458,0.3871172908479096,0.3871172908479096,21610400
1980-12-18,26.63,26.75,26.63,26.63,327900,0.0,1.0,0.3984898900378752,0.4002855635941856,0.3984898900378752,0.3984898900378752,18362400
1980-12-19,28.25,28.38,28.25,28.25,217100,0.0,1.0,0.4227314830480651,0.42467679606740133,0.4227314830480651,0.4227314830480651,12157600
1980-12-22,29.63,29.75,29.63,29.63,166800,0.0,1.0,0.4433817289456343,0.4451774025019447,0.4433817289456343,0.4433817289456343,9340800
1980-12-23,30.88,31.0,30.88,30.88,209600,0.0,1.0,0.4620866618238673,0.4638823353801777,0.4620866618238673,0.4620866618238673,11737600
1980-12-24,32.5,32.63,32.5,32.5,214300,0.0,1.0,0.4863282548340572,0.4882735678533935,0.4863282548340572,0.4863282548340572,12000800
1980-12-26,35.5,35.62,35.5,35.5,248100,0.0,1.0,0.5312200937418163,0.5330157672981267,0.5312200937418163,0.5312200937418163,13893600
1980-12-29,36.0,36.13,36.0,36.0,415900,0.0,1.0,0.5387020668931095,0.5406473799124458,0.5387020668931095,0.5387020668931095,23290400
1980-12-30,35.25,35.25,35.12,35.12,307500,0.0,1.0,0.5274791071661697,0.5274791071661697,0.5255337941468335,0.5255337941468335,17220000
1980-12-31,34.25,34.25,34.13,34.13,159600,0.0,1.0,0.5125151608635834,0.5125151608635834,0.5107194873072731,0.5107194873072731,8937600
1981-01-02,34.5,34.75,34.5,34.5,96700,0.0,1.0,0.51625614743923,0.5199971340148766,0.51625614743923,0.51625614743923,5415200
1981-01-05,33.87,33.87,33.75,33.75,159500,0.0,1.0,0.5068288612686005,0.5068288612686005,0.5050331877122902,0.5050331877122902,8932000
1981-01-06,32.37,32.37,32.25,32.25,201600,0.0,1.0,0.48438294181472097,0.48438294181472097,0.48258726825841064,0.48258726825841064,11289600
1981-01-07,31.0,31.0,30.88,30.88,248600,0.0,1.0,0.4638823353801777,0.4638823353801777,0.4620866618238673,0.4620866618238673,13921600
1981-01-08,30.37,30.37,30.25,30.25,177800,0.0,1.0,0.45445504920954827,0.45445504920954827,0.4526593756532379,0.4526593756532379,9956800
1981-01-09,31.88,32.0,31.88,31.88,96000,0.0,1.0,0.47705060812645367,0.47884628168276405,0.47705060812645367,0.47705060812645367,5376000
1981-01-12,31.88,31.88,31.62,31.62,105800,0.0,1.0,0.47705060812645367,0.47705060812645367,0.47315998208778126,0.47315998208778126,5924800
1981-01-13,30.63,30.63,30.5,30.5,102900,0.0,1.0,0.4583456752482207,0.4583456752482207,0.45640036222888447,0.45640036222888447,5762400
1981-01-14,30.63,30.75,30.63,30.63,63800,0.0,1.0,0.4583456752482207,0.46014134880453106,0.4583456752482207,0.4583456752482207,3572800
1981-01-15,31.25,31.5,31.25,31.25,62800,0.0,1.0,0.4676233219558243,0.4713643085314709,0.4676233219558243,0.4676233219558243,3516800
1981-01-16,31.12,31.12,31.0,31.0,59800,0.0,1.0,0.46567800893648803,0.46567800893648803,0.4638823353801777,0.4638823353801777,3348800
1981-01-19,32.87,33.0,32.87,32.87,185600,0.0,1.0,0.49186491496601414,0.4938102279853504,0.49186491496601414,0.49186491496601414,10393600
1981-01-20,32.0,32.0,31.88,31.88,134300,0.0,1.0,0.47884628168276405,0.47884628168276405,0.47705060812645367,0.47705060812645367,7520800
1981-01-21,32.5,32.75,32.5,32.5,71000,0.0,1.0,0.4863282548340572,0.4900692414097038,0.4863282548340572,0.4863282548340572,3976000
1981-01-22,32.87,33.13,32.87,32.87,158700,0.0,1.0,0.49186491496601414,0.4957555410046867,0.49186491496601414,0.49186491496601414,8887200
1981-01-23,32.87,33.0,32.75,32.75,50100,0.0,1.0,0.49186491496601414,0.4938102279853504,0.4900692414097038,0.4900692414097038,2805600
1981-01-26,32.37,32.37,32.25,32.25,110000,0.0,1.0,0.48438294181472097,0.48438294181472097,0.48258726825841064,0.48258726825841064,6160000
1981-01-27,32.25,32.25,32.0,32.0,105800,0.0,1.0,0.48258726825841064,0.48258726825841064,0.47884628168276405,0.47884628168276405,5924800
1981-01-28,31.12,31.12,31.0,31.0,125700,0.0,1.0,0.46567800893648803,0.46567800893648803,0.4638823353801777,0.4638823353801777,7039200
1981-01-29,30.0,30.0,29.87,29.87,196000,0.0,1.0,0.4489183890775913,0.4489183890775913,0.4469730760582551,0.4469730760582551,10976000
1981-01-30,28.5,28.5,28.25,28.25,206200,0.0,1.0,0.4264724696237117,0.4264724696237117,0.4227314830480651,0.4227314830480651,11547200
1981-02-02,26.75,26.75,26.63,26.63,106100,0.0,1.0,0.4002855635941856,0.4002855635941856,0.3984898900378752,0.3984898900378752,5941600
1981-02-03,27.62,27.75,27.62,27.62,85500,0.0,1.0,0.41330419687743575,0.41524950989677195,0.41330419687743575,0.41330419687743575,4788000
1981-02-04,28.62,28.75,28.62,28.62,124400,0.0,1.0,0.4282681431800221,0.4302134561993583,0.4282681431800221,0.4282681431800221,6966400
1981-02-05,28.62,28.87,28.62,28.62,35400,0.0,1.0,0.4282681431800221,0.4320091297556687,0.4282681431800221,0.4282681431800221,1982400
1981-02-06,28.75,28.87,28.75,28.75,61900,0.0,1.0,0.4302134561993583,0.4320091297556687,0.4302134561993583,0.4302134561993583,3466400
1981-02-09,27.5,27.5,27.25,27.25,74800,0.0,1.0,0.41150852332112536,0.41150852332112536,0.4077675367454788,0.4077675367454788,4188800
1981-02-10,27.25,27.38,27.25,27.25,81900,0.0,1.0,0.4077675367454788,0.409712849764815,0.4077675367454788,0.4077675367454788,4586400
1981-02-11,26.5,26.5,26.37,26.37,61800,0.0,1.0,0.39654457701853896,0.39654457701853896,0.39459926399920275,0.39459926399920275,3460800
1981-02-12,26.25,26.25,26.13,26.13,65000,0.0,1.0,0.39280359044289237,0.39280359044289237,0.391007916886582,0.391007916886582,3640000
1981-02-13,25.75,25.75,25.5,25.5,49800,0.0,1.0,0.3853216172915992,0.3853216172915992,0.3815806307159526,0.3815806307159526,2788800
1981-02-17,26.13,26.25,26.13,26.13,54800,0.0,1.0,0.391007916886582,0.39280359044289237,0.391007916886582,0.391007916886582,3068800
1981-02-18,27.25,27.5,27.25,27.25,85900,0.0,1.0,0.4077675367454788,0.41150852332112536,0.4077675367454788,0.4077675367454788,4810400
1981-02-19,25.75,25.75,25.63,25.63,99600,0.0,1.0,0.3853216172915992,0.3853216172915992,0.3835259437352888,0.3835259437352888,5577600
1981-02-20,24.38,24.38,24.25,24.25,108800,0.0,1.0,0.36482101085705587,0.36482101085705587,0.3628756978377196,0.3628756978377196,6092800
1981-02-23,24.62,24.75,24.62,24.62,63000,0.0,1.0,0.3684123579696766,0.37035767098901284,0.3684123579696766,0.3684123579696766,3528000
1981-02-24,24.0,24.0,23.75,23.75,75800,0.0,1.0,0.359134711262073,0.359134711262073,0.35539372468642644,0.35539372468642644,4244800
